
doctor_id,doctor_name,specialty,assigned_shift,max_capacity,active_patients,workload_pct
DOC-301,Dr. Amina Brody,Critical Care,Day Shift (06:00 - 18:00),8,6,75.0
DOC-302,Dr. Marcus Vance,Pediatrics,Day Shift (06:00 - 18:00),12,3,25.0
DOC-303,Dr. Liam Brody,Internal Medicine,Day Shift (06:00 - 18:00),12,7,58.3
DOC-304,Dr. James Delgado,Internal Medicine,Night Shift (18:00 - 06:00),12,1,8.3
DOC-305,Dr. Clara Delgado,Pediatrics,Night Shift (18:00 - 06:00),12,5,41.7
DOC-306,Dr. Liam Chen,Internal Medicine,Night Shift (18:00 - 06:00),12,2,16.7
DOC-307,Dr. Sophia Taylor,Pediatrics,Day Shift (06:00 - 18:00),12,2,16.7
DOC-308,Dr. Priya Nealon,Pediatrics,Night Shift (18:00 - 06:00),12,3,25.0
DOC-309,Dr. James Rostova,Internal Medicine,Night Shift (18:00 - 06:00),10,9,90.0
DOC-310,Dr. Marcus Vance,Internal Medicine,Day Shift (06:00 - 18:00),10,8,80.0
DOC-311,Dr. Michael Delgado,Emergency Medicine,Day Shift (06:00 - 18:00),8,1,12.5
DOC-312,Dr. James Park,Emergency Medicine,Night Shift (18:00 - 06:00),6,1,16.7
DOC-313,Dr. Amina Chen,Internal Medicine,Day Shift (06:00 - 18:00),10,5,50.0
DOC-314,Dr. Clara Nealon,Internal Medicine,Night Shift (18:00 - 06:00),10,4,40.0
DOC-315,Dr. Robert Alvarez,Internal Medicine,Day Shift (06:00 - 18:00),12,2,16.7
DOC-316,Dr. Jin-Woo Taylor,Critical Care,Day Shift (06:00 - 18:00),8,6,75.0
DOC-317,Dr. Michael Smith,Pediatrics,Day Shift (06:00 - 18:00),10,7,70.0
DOC-318,Dr. Emma Osei,Critical Care,Day Shift (06:00 - 18:00),6,3,50.0
DOC-319,Dr. Sarah Kovac,Emergency Medicine,Night Shift (18:00 - 06:00),6,1,16.7
DOC-320,Dr. David Smith,Internal Medicine,Day Shift (06:00 - 18:00),10,3,30.0
DOC-321,Dr. Robert Kovac,Internal Medicine,Night Shift (18:00 - 06:00),12,9,75.0
DOC-322,Dr. Priya Delgado,Internal Medicine,Night Shift (18:00 - 06:00),10,7,70.0
DOC-323,Dr. Emma Alvarez,Critical Care,Night Shift (18:00 - 06:00),6,6,100.0
DOC-324,Dr. Sophia Sharma,Emergency Medicine,Night Shift (18:00 - 06:00),6,2,33.3
DOC-325,Dr. Liam Rostova,Critical Care,Night Shift (18:00 - 06:00),6,1,16.7
DOC-326,Dr. Marcus Kamau,Critical Care,Night Shift (18:00 - 06:00),8,8,100.0
DOC-327,Dr. Marcus Alvarez,Critical Care,Day Shift (06:00 - 18:00),6,5,83.3
DOC-328,Dr. Sophia Sharma,Internal Medicine,Night Shift (18:00 - 06:00),10,2,20.0
DOC-329,Dr. David Njuguna,Emergency Medicine,Night Shift (18:00 - 06:00),6,5,83.3
DOC-330,Dr. Daniel Njuguna,Pediatrics,Day Shift (06:00 - 18:00),12,10,83.3
DOC-331,Dr. Sophia Vance,Critical Care,Day Shift (06:00 - 18:00),6,3,50.0
DOC-332,Dr. Sophia Sharma,Emergency Medicine,Day Shift (06:00 - 18:00),6,4,66.7
DOC-333,Dr. Michael Taylor,Pediatrics,Day Shift (06:00 - 18:00),10,3,30.0
DOC-334,Dr. Emma Delgado,Emergency Medicine,Night Shift (18:00 - 06:00),8,5,62.5
DOC-335,Dr. Amina Nealon,Pediatrics,Night Shift (18:00 - 06:00),12,8,66.7
DOC-336,Dr. Marcus Kamau,Pediatrics,Night Shift (18:00 - 06:00),12,6,50.0
DOC-337,Dr. Clara Nealon,Internal Medicine,Night Shift (18:00 - 06:00),12,11,91.7
DOC-338,Dr. Sophia Kamau,Critical Care,Night Shift (18:00 - 06:00),8,3,37.5
DOC-339,Dr. Sarah Kovac,Pediatrics,Day Shift (06:00 - 18:00),12,4,33.3
DOC-340,Dr. Priya Sharma,Critical Care,Day Shift (06:00 - 18:00),8,6,75.0
DOC-341,Dr. Priya Kovac,Critical Care,Day Shift (06:00 - 18:00),6,1,16.7
DOC-342,Dr. Sarah Delgado,Internal Medicine,Day Shift (06:00 - 18:00),12,5,41.7
DOC-343,Dr. Clara Vance,Emergency Medicine,Day Shift (06:00 - 18:00),8,8,100.0
DOC-344,Dr. Clara Smith,Internal Medicine,Night Shift (18:00 - 06:00),10,2,20.0
DOC-345,Dr. Sophia Alvarez,Internal Medicine,Night Shift (18:00 - 06:00),12,9,75.0
DOC-346,Dr. Daniel Nealon,Internal Medicine,Night Shift (18:00 - 06:00),12,11,91.7
DOC-347,Dr. Liam Delgado,Internal Medicine,Night Shift (18:00 - 06:00),12,6,50.0
DOC-348,Dr. Priya Nealon,Emergency Medicine,Day Shift (06:00 - 18:00),6,4,66.7
DOC-349,Dr. Marcus Park,Internal Medicine,Day Shift (06:00 - 18:00),10,3,30.0
DOC-350,Dr. James Chen,Pediatrics,Night Shift (18:00 - 06:00),12,12,100.0
